OrderID,Buy Date,Buy Price,Sell Date,Sell Price
173,2014-04-15,136.520004,2014-04-16,139.25040408,241
174,2014-04-16,136.350006,2014-04-21,139.07700612000002,6
175,2014-04-16,136.559998,2014-04-21,139.29119796,6
176,2014-04-17,135.360001,2014-04-21,138.06720102000003,239
177,2014-04-25,138.220001,2014-05-12,140.98440102,249
178,2014-05-16,145.0,2014-05-16,147.9,242
179,2014-05-20,155.25,2014-05-21,158.355,231
180,2014-05-21,155.199997,2014-05-22,158.30399694,1
181,2014-05-21,156.309998,2014-05-22,159.43619796000002,1
182,2014-05-23,159.0,2014-05-26,162.18,229
183,2014-05-26,156.600006,2014-06-02,159.73200612000002,1
184,2014-05-26,158.130005,2014-06-03,161.2926051,1
185,2014-05-27,155.0,2014-05-29,158.1,233
186,2014-05-29,153.350006,2014-05-30,156.41700612,5
187,2014-06-06,163.25,2014-06-09,166.51500000000001,228
188,2014-06-10,164.0,2014-06-10,167.28,230
189,2014-06-11,164.029999,2014-07-01,167.31059898,233
190,2014-06-12,163.149994,2014-07-01,166.41299388,5
191,2014-07-04,167.839996,2014-08-22,171.19679592000003,235
192,2014-07-11,156.0,2014-07-14,159.12,2
193,2014-08-25,166.550003,2014-08-26,169.88100306,238
194,2014-08-26,167.029999,2014-08-27,170.37059898,5
195,2014-08-27,167.5,2014-09-01,170.85,238
196,2014-09-03,172.850006,2014-09-04,176.30700612,239
197,2014-09-04,172.550003,2014-09-08,176.00100306000002,3
198,2014-09-04,172.880005,2014-09-08,176.33760510000002,3
199,2014-09-08,166.149994,2014-09-08,169.47299388,237
200,2014-09-09,174.770004,2014-09-10,178.26540408,244
201,2014-09-10,175.25,2014-10-31,178.755,3
202,2014-09-10,176.100006,2014-10-31,179.62200612,3
203,2014-09-16,169.509995,2014-09-17,172.9001949,244
204,2014-09-17,170.300003,2014-09-18,173.70600306,9
205,2014-09-17,171.869995,2014-09-19,175.3073949,9
206,2014-09-22,172.550003,2014-09-23,176.00100306000002,248
207,2014-09-23,172.5,2014-10-31,175.95000000000002,5
208,2014-09-23,173.529999,2014-10-31,177.00059898,5
209,2014-09-24,168.199997,2014-09-29,171.56399694,245
210,2014-09-25,166.300003,2014-09-26,169.62600306000002,8
211,2014-10-07,168.100006,2014-10-21,171.46200612,253
212,2014-10-27,171.25,2014-10-30,174.675,256
213,2014-11-05,178.050003,2014-11-11,181.61100306,265
214,2014-11-07,178.100006,2014-11-11,181.66200612,2
215,2014-11-19,183.75,2014-11-28,187.425,257
216,2014-11-25,181.399994,2014-11-26,185.02799388,6
217,2014-11-28,185.080002,2014-12-01,188.78160204000002,6
218,2014-12-05,188.0,2015-01-05,191.76,258
219,2014-12-16,177.0,2014-12-18,180.54,4
220,2015-01-06,188.149994,2015-01-15,191.91299388,262
221,2015-01-07,183.240005,2015-01-08,186.9048051,4
222,2015-01-09,184.149994,2015-01-13,187.83299388,4
223,2015-01-27,193.050003,2015-01-28,196.91100306,261
224,2015-01-29,195.0,2015-02-03,198.9,263
225,2015-01-30,195.0,2015-02-03,198.9,2
226,2015-02-09,189.300003,2015-02-10,193.08600306,273
227,2015-02-12,192.550003,2015-02-13,196.40100306,276
228,2015-02-18,193.0,2015-02-19,196.86,277
229,2015-02-19,194.149994,2015-02-27,198.03299388,5
230,2015-02-19,195.429993,2015-03-02,199.33859286,5
231,2015-02-20,194.759995,2015-03-02,198.6551949,273
232,2015-03-04,198.0,2015-03-05,201.96,281
233,2015-03-11,196.100006,2015-03-12,200.02200612000001,288
234,2015-03-13,197.5,2015-03-16,201.45000000000002,291
235,2015-03-16,196.0,2015-03-17,199.92000000000002,4
236,2015-03-16,196.220001,2015-03-17,200.14440102,4
237,2015-03-19,198.5,2015-04-07,202.47,293
238,2015-03-20,197.100006,2015-04-07,201.04200612000002,5
239,2015-04-10,203.350006,2015-04-13,207.41700612000002,290
240,2015-04-15,204.100006,2015-07-17,208.18200612,296
241,2015-04-16,202.899994,2015-07-15,206.95799388,4
242,2015-07-20,207.149994,2015-08-04,211.29299387999998,299
243,2015-08-11,211.320007,2015-08-17,215.54640714,293
244,2015-08-12,209.300003,2015-08-13,213.48600306,7
245,2015-08-14,210.300003,2015-08-17,214.50600306,7
246,2015-08-20,213.059998,2016-07-13,217.32119796,300
247,2015-08-25,190.5,2015-08-25,194.31,3
248,2015-09-08,189.0,2015-09-09,192.78,3
249,2016-01-14,185.550003,2016-01-14,189.26100306,3
250,2016-01-15,185.0,2016-01-15,188.70000000000002,3
251,2016-01-18,182.100006,2016-02-01,185.74200612,3
252,2016-02-03,179.0,2016-02-05,182.58,3
253,2016-02-09,179.210007,2016-02-15,182.79420714,3
254,2016-02-16,172.149994,2016-02-17,175.59299388,3
255,2016-02-18,173.020004,2016-02-23,176.48040408,3
256,2016-02-26,171.550003,2016-03-01,174.98100306,3
257,2016-07-05,209.0,2016-07-11,213.18,2
258,2016-07-15,215.449997,2016-07-18,219.75899694,303
259,2016-07-18,211.100006,2016-07-18,215.32200612,1
260,2016-07-18,216.100006,2016-07-22,220.42200612000002,1
261,2016-07-19,214.350006,2016-07-21,218.63700612000002,307
262,2016-07-26,221.520004,2016-07-29,225.95040408,304
263,2016-08-02,225.059998,2016-08-17,229.56119796000002,306
264,2016-08-19,228.110001,2016-08-31,232.67220102000002,305
265,2016-08-22,228.520004,2016-08-31,233.09040408,2
266,2016-08-31,230.050003,2016-09-01,234.65100306000002,1
267,2016-09-01,230.100006,2016-09-06,234.70200612000002,308
268,2016-09-08,228.850006,2016-09-08,233.42700612000002,308
269,2016-09-09,235.0,2016-10-06,239.70000000000002,313
270,2016-09-12,229.020004,2016-09-16,233.60040408,1
271,2016-09-29,225.0,2016-09-30,229.5,1
272,2016-10-06,237.020004,2016-11-09,241.76040408,1
273,2016-10-13,233.300003,2016-10-18,237.96600306000002,312
274,2016-10-19,234.0,2016-10-20,238.68,320
275,2016-10-24,233.600006,2016-10-25,238.27200612000001,325
276,2016-10-25,237.100006,2016-11-09,241.84200612,6
277,2016-10-26,235.020004,2016-11-01,239.72040408,324
278,2016-11-01,236.020004,2016-11-07,240.74040408,5
279,2016-11-02,234.020004,2016-11-07,238.70040408,323
280,2016-11-04,228.25,2016-11-07,232.815,8
281,2016-11-09,229.0,2016-11-09,233.58,343
282,2016-11-09,216.75,2016-11-09,221.085,343
283,2016-11-11,227.0,2017-01-19,231.54,363
284,2016-11-15,207.220001,2016-11-15,211.36440102,8
285,2016-11-30,220.059998,2016-12-08,224.46119796000002,8
286,2016-12-13,220.020004,2017-01-10,224.42040408,8
287,2017-01-13,226.410004,2017-01-17,230.93820408,8
288,2017-01-19,229.809998,2017-01-25,234.40619796000001,8
289,2017-01-20,227.509995,2017-01-25,232.0601949,363
290,2017-01-30,232.110001,2017-01-30,236.75220102000003,368
291,2017-01-31,234.899994,2017-02-01,239.59799388,374
292,2017-02-02,237.020004,2017-02-03,241.76040408,377
293,2017-02-07,241.25,2017-02-20,246.07500000000002,378
294,2017-02-15,238.509995,2017-02-17,243.2801949,2
295,2017-02-23,245.0,2017-03-14,249.9,377
296,2017-03-02,244.25,2017-03-14,249.135,4
297,2017-03-20,250.320007,2017-04-03,255.32640714000001,379
298,2017-04-05,252.020004,2017-04-05,257.06040408,379
299,2017-04-11,249.100006,2017-04-11,254.08200612000002,379
300,2017-04-19,257.019989,2017-04-20,262.16038878,386
301,2017-04-26,265.0,2017-05-10,270.3,380
302,2017-05-15,254.0,2017-05-15,259.08,383
303,2017-05-18,266.200012,2017-06-20,271.52401224000005,386
304,2017-05-19,262.209991,2017-05-22,267.45419082,9
305,2017-05-23,255.940002,2017-05-26,261.05880204,9
306,2017-05-29,259.700012,2017-05-31,264.89401224,9
307,2017-06-22,267.399994,2017-07-06,272.74799388,396
308,2017-06-23,264.51001,2017-07-04,269.80021020000004,4
309,2017-07-10,270.049988,2017-07-10,275.45098776,398
310,2017-07-18,276.140015,2017-07-26,281.66281530000003,398
311,2017-08-02,280.019989,2017-08-04,285.62038878000004,398
312,2017-08-08,284.51001,2017-08-09,290.2002102,396
313,2017-08-09,280.149994,2017-08-30,285.75299388,7
314,2017-08-09,281.709991,2017-09-01,287.34419082,7
315,2017-08-10,271.359985,2017-08-14,276.7871847,400
316,2017-08-11,267.410004,2017-08-14,272.75820408000004,15
317,2017-08-21,275.859985,2017-08-24,281.3771847,409
318,2017-08-22,274.519989,2017-08-24,280.01038878,6
319,2017-08-29,279.799988,2017-08-30,285.39598775999997,412
320,2017-09-04,283.5,2017-09-07,289.17,426
321,2017-09-08,288.0,2017-09-13,293.76,430
322,2017-09-21,290.0,2017-10-19,295.8,431
323,2017-09-22,284.0,2017-10-11,289.68,6
324,2017-10-19,290.5,2017-10-26,296.31,6
325,2017-10-19,291.940002,2017-10-27,297.77880204,6
326,2017-10-27,297.0,2017-10-30,302.94,429
327,2017-10-30,298.5,2017-11-01,304.47,5
328,2017-10-30,301.450012,2017-11-06,307.47901224000003,5
329,2017-11-07,302.299988,2017-12-15,308.34598776,426
330,2017-11-08,299.079987,2017-11-21,305.06158674,8
331,2017-12-01,300.170013,2017-12-11,306.17341325999996,8
332,2017-12-12,303.0,2017-12-15,309.06,8
333,2017-12-18,296.679993,2017-12-18,302.61359286000004,442
334,2018-01-01,314.209991,2018-01-03,320.49419082000003,432
335,2018-01-12,320.399994,2019-10-30,326.80799388,430
336,2019-10-30,288.200012,2019-10-30,293.96401224000005,2
337,2019-10-30,295.970001,2020-01-09,301.88940102000004,2
338,2019-11-04,295.880005,2020-01-09,301.7976051,470
339,2019-11-05,293.410004,2019-11-07,299.27820408,3
340,2019-11-11,292.890015,2019-11-29,298.7478153,3
341,2019-12-03,290.799988,2019-12-03,296.61598776,3
342,2019-12-03,284.809998,2019-12-03,290.50619796,3
343,2019-12-04,292.5,2020-01-09,298.35,3
344,2020-01-14,296.25,2020-01-15,302.175,480
345,2020-01-15,298.019989,2020-01-24,303.98038878,3
346,2020-01-15,299.869995,2020-08-19,305.8673949,3
347,2020-01-20,298.73999,2020-01-24,304.7147898,477
348,2020-01-21,295.200012,2020-01-24,301.10401224000003,4
349,2020-01-28,297.950012,2020-08-19,303.90901224000004,489
350,2020-02-03,282.049988,2020-02-04,287.69098776,5
351,2020-02-06,290.700012,2020-02-06,296.51401224,5
352,2020-02-06,284.850006,2020-02-06,290.54700612,5
353,2020-02-12,298.299988,2020-08-19,304.26598776,5
354,2020-08-20,285.5,2020-08-20,291.21,521
355,2020-08-21,278.200012,2020-08-21,283.76401224,532
356,2020-08-24,272.100006,2020-08-24,277.54200612,538
357,2020-08-25,286.200012,2020-08-26,291.92401224,548
358,2020-08-26,289.26001,2020-08-27,295.04521020000004,5
359,2020-08-26,290.640015,2020-08-27,296.4528153,5
360,2020-08-27,289.0,2020-08-28,294.78000000000003,544
361,2020-08-28,285.649994,2020-08-28,291.36299388,14
362,2020-08-28,292.859985,2020-08-31,298.7171847,14
363,2020-08-31,275.299988,2020-08-31,280.80598776,546
364,2020-09-02,277.0,2020-09-02,282.54,589
365,2020-09-03,287.109985,2020-09-04,292.8521847,590
366,2020-09-07,274.0,2020-09-07,279.48,611
367,2020-09-08,278.799988,2020-09-09,284.37598776,622
368,2020-09-09,275.0,2020-09-10,280.5,7
369,2020-09-09,279.700012,2020-09-10,285.29401224000003,7
370,2020-09-10,277.0,2020-09-11,282.54,624
371,2020-09-11,274.290009,2020-09-11,279.77580918,20
372,2020-09-11,284.299988,2020-09-14,289.98598776,20
373,2020-09-14,274.290009,2020-09-14,279.77580918,619
374,2020-09-15,283.0,2020-09-16,288.66,650
375,2020-09-16,270.200012,2020-09-16,275.60401224000003,2
376,2020-09-16,288.26001,2020-09-17,294.0252102,2
377,2020-09-17,250.800003,2020-09-17,255.81600306,650
378,2020-09-18,285.0,2020-09-21,290.7,662
379,2020-09-21,271.399994,2020-09-21,276.82799388,7
380,2020-09-21,280.980011,2020-09-22,286.59961122,7
381,2020-09-22,270.0,2020-09-22,275.4,683
382,2020-09-23,273.179993,2020-09-24,278.64359286,715
383,2020-09-24,252.0,2020-09-24,257.04,7
384,2020-09-24,271.049988,2020-09-25,276.47098776,7
385,2020-09-25,254.800003,2020-09-25,259.89600306,733
